calendar_position,source_timestamp_utc,source_timestamp_local_london,timestamp_utc,timestamp_local,alignment_method
32,2013-01-02T08:00:00Z,2013-01-02 08:00:00+00:00,2013-01-02T07:00:00Z,2013-01-02 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
33,2013-01-02T09:00:00Z,2013-01-02 09:00:00+00:00,2013-01-02T08:00:00Z,2013-01-02 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
34,2013-01-02T10:00:00Z,2013-01-02 10:00:00+00:00,2013-01-02T09:00:00Z,2013-01-02 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
35,2013-01-02T11:00:00Z,2013-01-02 11:00:00+00:00,2013-01-02T10:00:00Z,2013-01-02 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
36,2013-01-02T12:00:00Z,2013-01-02 12:00:00+00:00,2013-01-02T11:00:00Z,2013-01-02 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
37,2013-01-02T13:00:00Z,2013-01-02 13:00:00+00:00,2013-01-02T12:00:00Z,2013-01-02 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
38,2013-01-02T14:00:00Z,2013-01-02 14:00:00+00:00,2013-01-02T13:00:00Z,2013-01-02 14:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
39,2013-01-02T15:00:00Z,2013-01-02 15:00:00+00:00,2013-01-02T14:00:00Z,2013-01-02 15:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
40,2013-01-02T16:00:00Z,2013-01-02 16:00:00+00:00,2013-01-02T15:00:00Z,2013-01-02 16:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
41,2013-01-02T17:00:00Z,2013-01-02 17:00:00+00:00,2013-01-02T16:00:00Z,2013-01-02 17:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
42,2013-01-02T18:00:00Z,2013-01-02 18:00:00+00:00,2013-01-02T17:00:00Z,2013-01-02 18:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
43,2013-01-02T19:00:00Z,2013-01-02 19:00:00+00:00,2013-01-02T18:00:00Z,2013-01-02 19:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
44,2013-01-02T20:00:00Z,2013-01-02 20:00:00+00:00,2013-01-02T19:00:00Z,2013-01-02 20:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
45,2013-01-02T21:00:00Z,2013-01-02 21:00:00+00:00,2013-01-02T20:00:00Z,2013-01-02 21:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
46,2013-01-02T22:00:00Z,2013-01-02 22:00:00+00:00,2013-01-02T21:00:00Z,2013-01-02 22:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
47,2013-01-02T23:00:00Z,2013-01-02 23:00:00+00:00,2013-01-02T22:00:00Z,2013-01-02 23:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
48,2013-01-03T00:00:00Z,2013-01-03 00:00:00+00:00,2013-01-02T23:00:00Z,2013-01-03 00:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
49,2013-01-03T01:00:00Z,2013-01-03 01:00:00+00:00,2013-01-03T00:00:00Z,2013-01-03 01:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
50,2013-01-03T02:00:00Z,2013-01-03 02:00:00+00:00,2013-01-03T01:00:00Z,2013-01-03 02:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
51,2013-01-03T03:00:00Z,2013-01-03 03:00:00+00:00,2013-01-03T02:00:00Z,2013-01-03 03:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
52,2013-01-03T04:00:00Z,2013-01-03 04:00:00+00:00,2013-01-03T03:00:00Z,2013-01-03 04:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
53,2013-01-03T05:00:00Z,2013-01-03 05:00:00+00:00,2013-01-03T04:00:00Z,2013-01-03 05:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
54,2013-01-03T06:00:00Z,2013-01-03 06:00:00+00:00,2013-01-03T05:00:00Z,2013-01-03 06:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
55,2013-01-03T07:00:00Z,2013-01-03 07:00:00+00:00,2013-01-03T06:00:00Z,2013-01-03 07:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
56,2013-01-03T08:00:00Z,2013-01-03 08:00:00+00:00,2013-01-03T07:00:00Z,2013-01-03 08:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
57,2013-01-03T09:00:00Z,2013-01-03 09:00:00+00:00,2013-01-03T08:00:00Z,2013-01-03 09:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
58,2013-01-03T10:00:00Z,2013-01-03 10:00:00+00:00,2013-01-03T09:00:00Z,2013-01-03 10:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
59,2013-01-03T11:00:00Z,2013-01-03 11:00:00+00:00,2013-01-03T10:00:00Z,2013-01-03 11:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
60,2013-01-03T12:00:00Z,2013-01-03 12:00:00+00:00,2013-01-03T11:00:00Z,2013-01-03 12:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
61,2013-01-03T13:00:00Z,2013-01-03 13:00:00+00:00,2013-01-03T12:00:00Z,2013-01-03 13:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
62,2013-01-03T14:00:00Z,2013-01-03 14:00:00+00:00,2013-01-03T13:00:00Z,2013-01-03 14:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
63,2013-01-03T15:00:00Z,2013-01-03 15:00:00+00:00,2013-01-03T14:00:00Z,2013-01-03 15:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
64,2013-01-03T16:00:00Z,2013-01-03 16:00:00+00:00,2013-01-03T15:00:00Z,2013-01-03 16:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
65,2013-01-03T17:00:00Z,2013-01-03 17:00:00+00:00,2013-01-03T16:00:00Z,2013-01-03 17:00:00+01:00,timezone_aware_calendar_position_Europe_London_to_Europe_Madrid
